c_bin,ce_bin,c_mean,ce_mean,delta_c_mean,delta_ce_mean,delta_ei_mean,ei_reduction_mean,n,ei_regime
"(0.394, 0.415]","(-0.0921, -0.0307]",0.39952704397683964,-0.05599957405626793,0.0047202473463628675,0.0009581120048518834,-0.00023835543155115095,0.00023835543155115095,2336,Q4 high EI
"(0.394, 0.415]","(-0.0307, 0.101]",0.4094008377061867,-0.009138889853415603,0.005404196651160909,-0.005330148787697425,-1.0828379260827132e-05,1.0828379260827132e-05,1495,Q4 high EI
"(0.415, 0.496]","(-0.177, -0.142]",0.45992633283215906,-0.1544128356642785,0.007045799092250724,0.040361779190172184,-0.0002097151144829685,0.0002097151144829685,152,Q4 high EI
"(0.415, 0.496]","(-0.142, -0.0921]",0.4598237250352814,-0.11710532558165422,0.005749401759467937,0.014480217235719472,-0.0002876356477181423,0.0002876356477181423,225,Q4 high EI
"(0.415, 0.496]","(-0.0921, -0.0307]",0.4634825891890548,-0.059743593300625786,0.0037910884891190683,-7.395708623115894e-05,-0.0005593913440515474,0.0005593913440515474,419,Q4 high EI
"(0.415, 0.496]","(-0.0307, 0.101]",0.4350295671076082,0.04559244224471417,0.004421885937592933,-0.013893009385316115,-0.0003983459129907397,0.0003983459129907397,1745,Q4 high EI
"(0.415, 0.496]","(0.101, 1.0]",0.46377363190120013,0.2263982234105333,0.005470482752225812,-0.021222960124995742,-0.0004248479112607301,0.0004248479112607301,1439,Q4 high EI
"(0.496, 0.847]","(-0.177, -0.142]",0.5473690031239179,-0.1539894757076949,-0.0143494567602011,0.018902480468779338,-2.1665673435527802e-05,2.1665673435527802e-05,69,Q4 high EI
"(0.496, 0.847]","(-0.142, -0.0921]",0.5574055163952676,-0.11359454764374628,-0.03757896358015351,0.007256592504616477,-0.0003178749732134943,0.0003178749732134943,173,Q4 high EI
"(0.496, 0.847]","(-0.0921, -0.0307]",0.5471698044374632,-0.0606003578006093,-0.016540287178730045,0.006226367040682507,-0.00010544601617310385,0.00010544601617310385,442,Q4 high EI
"(0.496, 0.847]","(-0.0307, 0.101]",0.547674556186232,0.028677822308738266,-0.017352654756977396,-0.007303215984553125,-0.0002446972359778819,0.0002446972359778819,753,Q4 high EI
"(0.496, 0.847]","(0.101, 1.0]",0.5797876709694068,0.43615483634944846,-0.012478852623132588,-0.0484931791346846,-0.0006074385773378794,0.0006074385773378794,2555,Q4 high EI
